keyword,tanggal,username,name,tweet,total retweet,total like,url ID,location,source
omnibuslaw,2020-10-11 02:56:49,Justkidof,Nama tidak boleh kosong,Oke lah pak presiden bilang publik banyak termakan hoax UU Omnibuslaw Dulu juga kami kena hoax dari janji bapak,6,20,https://twitter.com/twitter/statuses/1315124163758100480,"New York, USA",Twitter for Android
omnibuslaw,2020-10-11 02:56:45,rifqiaja14,rifqiaja,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315124147475804162,,Twitter for Android
omnibuslaw,2020-10-11 02:56:42,Raja_Hutang,Jongos China,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315124134544773120,,Twitter for Android
omnibuslaw,2020-10-11 02:56:38,vrendim29_,✌️masvren,Muhammadiyah dan PBNU Keberatan Soal Pengesahan Omnibuslaw Muhammadiyah secara resmi pada tanggal 8 Juni 2020 mengirim surat kepada DPR dan Presiden yang intinya menolak dan meminta supaya pembahasan RUU tersebut dihentikan Muhammadiyah OmnibusLaw,818,1810,https://twitter.com/twitter/statuses/1315124118526652417,Jakarta Capital Region,Twitter for iPhone
omnibuslaw,2020-10-11 02:56:22,xxpirman,calon lurah.,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315124051304538113,"Yogyakarta, Indonesia",Twitter for Android
omnibuslaw,2020-10-11 02:56:16,wahanamgalih,wahana mg.,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315124025081753601,,Twitter for Android
omnibuslaw,2020-10-11 02:56:11,yonskyi,dugong terdampar,buat yang punya foto siapapun dirimu wahai mahasiswa terima kasih sudah menyambung aspirasi kami para penjuang rupiah kalian adalah pahlawan yg sesungguhnya OmnibusLaw OmnibusLawSampah OmnibusLawRugikanRakyat,0,0,https://twitter.com/twitter/statuses/1315124004730986498,,Twitter for Android
omnibuslaw,2020-10-11 02:55:28,Khairul33577477,Khairul,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315123826255032322,"Kalimantan Tengah, Indonesia",Twitter for Android
omnibuslaw,2020-10-11 02:55:14,matajalanraya,sebut saja Abang,Ayo Para gubernur bersatu lah Tolak Omnibuslaw apalg gubernur tdk bnyk dilibatkan dlm pembahasan omnibus sehingga secara tdk langsung melemahkan amdal Dan dpt merusak lingkungan alam sekitar di daerah anda,54,125,https://twitter.com/twitter/statuses/1315123765609590784,"Gambir, Indonesia",Twitter Web App
omnibuslaw,2020-10-11 02:55:10,KOESNO98476678,KOESNO,GAK SEMUA ANAK KULIAHAN PUNYA OTAK salah satu contoh nya nieh IGNATIUS PETER th semester PTS Kasus MERUSAK MOBIL TAHANAN JAKPUS PENGAKUAN saya hanya ikutan an gak tau apa itu Omnibuslaw isi amp pasal nya Saya termakan hoax teman saya menyesal NIKMATI PENJARA MU,15,37,https://twitter.com/twitter/statuses/1315123751181139968,,Twitter for Android
